project_duration,eval_lag,sector_code,completion_year,project_size_USD_calculated,success
1311,603,430,2004,1165661.3,1
2023,1144,310,2006,1553269.8,1
786,87,430,2006,1984632.8,1
2165,1085,160,2006,598754.5,1
2574,140,240,2007,17422942.0,1
1503,290,160,2008,5251964.0,1
2332,-86,160,2009,1515367.4,0
1944,48,310,2009,1790635.1,0
2412,648,230,2009,16847216.0,1
2033,289,160,2010,4994842.0,1
3868,-348,210,2010,34855896.0,1
2055,327,230,2010,20259288.0,1
2942,-26,240,2010,5431688.5,1
2163,179,310,2010,1627041.9,1
991,-440,430,2010,2934381.3,1
2498,319,310,2011,2000000.0,1
2851,4,410,2011,30736102.0,1
2521,275,310,2011,6789398.0,1
2555,459,310,2011,5509497.0,1
2986,304,310,2011,6000000.0,1
2622,303,310,2011,1200995.0,1
1577,1037,140,2011,783492.06,1
1625,2072,140,2011,936770.44,1
2542,32,430,2011,2341106.0,1
2612,303,310,2011,1206422.8,1
2451,275,310,2011,6879395.0,1
2588,303,310,2011,1988301.4,1
2580,303,310,2011,610412.63,1
2588,303,310,2011,861277.63,1
2043,1625,210,2012,30272454.0,0
2783,609,210,2012,5450000.0,1
2040,-308,210,2012,34240000.0,1
1277,71,160,2012,999246.31,1
2887,609,210,2012,39599592.0,1
2056,254,430,2012,5530436.0,1
3666,1066,210,2013,99427824.0,1
2504,731,210,2014,45710000.0,0
3087,520,210,2015,71210000.0,1
3450,520,210,2015,147871840.0,1
3239,601,140,2015,9380000.0,1
3144,28,310,2011,6488027.5,1
3202,457,210,2005,15112584.0,1
3614,960,160,2006,1372915.8,1
2288,21,230,2006,4886019.0,1
3251,994,160,2006,8960464.0,1
3020,413,310,2008,11413834.0,1
596,367,430,2010,22000000.0,1
3776,442,160,2010,12770902.0,1
3601,303,310,2011,11981356.0,1
2411,138,160,2011,2699518.3,1
2685,-472,430,2012,1937284.8,1
3276,0,230,2012,13150000.0,1
344,675,430,2004,25000000.0,1
825,-236,430,2006,15472744.0,1
3769,595,160,2007,18347880.0,1
2235,539,430,2008,2399360.3,1
3617,1065,160,2008,16753954.0,1
3615,-102,160,2009,11110000.0,1
4347,-15,140,2009,11980000.0,1
2113,350,160,2009,5269962.5,1
3381,387,310,2009,12331831.0,1
3311,-410,210,2010,24722510.0,0
3318,381,310,2010,18182342.0,1
2262,350,210,2010,18104940.0,1
2962,230,310,2011,15841370.0,1
343,16,430,2011,10000000.0,1
2782,428,140,2011,23000580.0,1
2053,793,430,2012,2740000.0,1
827,244,430,2013,50000000.0,1
1751,1372,140,2013,565170.69,1
3773,244,160,2013,17891188.0,1
726,499,430,2011,1105501696.0,1
400,248,430,2009,12000000.0,1
2910,609,160,2012,9518537.0,1
2726,-2029,430,2012,8214885.5,1
765,-381,430,2012,10000000.0,1
935,-400,430,2013,7000000.0,1
1741,367,210,2015,24100000.0,1
1312,221,430,2004,20500000.0,1
3310,595,310,2007,19598952.0,1
3241,-40,430,2010,3224947.3,1
3148,110,310,2010,16639807.0,1
4135,-215,160,2011,8926026.0,1
1465,331,430,2011,24918294.0,1
3171,630,160,2012,11063539.0,1
2998,32,140,2014,28490000.0,1
13,1531,430,2003,2500000.0,1
2774,457,160,2004,4213350.0,1
446,437,430,2005,2500000.0,1
2933,350,310,2010,7070882.5,1
2272,195,160,2010,1035109.0,1
905,186,430,2011,5000000.0,1
389,609,430,2012,19698224.0,1
878,345,430,2004,15000000.0,0
300,265,430,2009,83870000.0,1
426,416,430,2009,6500000.0,1
1774,-254,430,2011,3289785.3,1
1057,9,430,2004,8697877.0,1
3370,960,160,2006,6289022.0,0
3720,17,310,2009,22615104.0,1
4599,-501,310,2010,13470881.0,1
2198,33,430,2011,2767896.3,1
1081,1281,140,2011,413987.53,1
3388,198,310,2011,8999438.0,1
3593,606,160,2011,6283833.0,1
3663,-107,160,2011,6523783.0,0
2196,670,140,2012,15190000.0,1
3341,121,310,2012,15231016.0,0
3141,609,160,2012,2057108.5,1
1059,-197,430,2012,2000000.0,1
523,63,430,2014,2000000.0,1
1860,290,430,2008,364562.5,1
1529,138,430,2011,2897139.0,1
4236,-288,160,2010,7250000.0,1
1792,609,140,2012,7549074.0,1
3197,428,160,2013,4855762.5,1
2539,351,430,2008,2103328.5,1
2208,-1216,430,2009,46627404.0,1
444,319,430,2010,65000000.0,1
2350,227,160,2010,4668121.5,1
1723,487,310,2011,1886528.3,1
3231,-152,310,2013,24778560.0,1
